iteration,type,id,field,2022-01-01 12:00:00,2022-01-02 00:00:00,2022-01-02 12:00:00,2022-01-03 00:00:00,2022-01-03 12:00:00,2022-01-04 00:00:00,2022-01-04 12:00:00,2022-01-05 00:00:00,2022-01-05 12:00:00,2022-01-06 00:00:00,2022-01-06 12:00:00,2022-01-07 00:00:00,2022-01-07 12:00:00,2022-01-08 00:00:00,2022-01-08 12:00:00,2022-01-09 00:00:00,2022-01-09 12:00:00,2022-01-10 00:00:00,2022-01-10 12:00:00,2022-01-11 00:00:00,2022-01-11 12:00:00,2022-01-12 00:00:00,2022-01-12 12:00:00,2022-01-13 00:00:00,2022-01-13 12:00:00,2022-01-14 00:00:00,2022-01-14 12:00:00,2022-01-15 00:00:00,2022-01-15 12:00:00,2022-01-16 00:00:00,2022-01-16 12:00:00,2022-01-17 00:00:00,2022-01-17 12:00:00,2022-01-18 00:00:00,2022-01-18 12:00:00,2022-01-19 00:00:00,2022-01-19 12:00:00,2022-01-20 00:00:00,2022-01-20 12:00:00,2022-01-21 00:00:00
1,Line,line4,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line5,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line6,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line7,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line8,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line9,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line10,in_service,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Line,line11,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line12,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line13,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line14,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line15,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line16,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,Line,line17,in_service,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
